"index","time_stamp","stop","stopName","number","direction","plannedTime","vehicleId","tripId","delay","seq_num"
90,2018-06-27 07:42:01,357,"Poczta Główna",52,"Os.Piastów",2018-06-27 07:42:00,"6352185295672181668","6351558574045261571",0,16
90,2018-06-27 07:42:01,129,"Cystersów",52,"Czerwone Maki P+R",2018-06-27 07:40:00,"6352185295672181662","6351558574045224708",2,18
91,2018-06-27 07:42:04,589,"Ruczaj",52,"Czerwone Maki P+R",2018-06-27 07:39:00,"6352185295672180839","6351558574045277954",3,34
92,2018-06-27 07:42:10,575,"Szwedzka",52,"Os.Piastów",2018-06-27 07:42:00,"6352185295672181647","6351558574045265668",0,11
92,2018-06-27 07:42:12,2745,"Rondo Kocmyrzowskie im. Ks. Gorzelanego",52,"Os.Piastów",2018-06-27 07:42:00,"6352185295672180871","6351558574045249283",0,31
94,2018-06-27 07:42:21,130,"Białucha",52,"Os.Piastów",2018-06-27 07:41:00,"6352185295672181648","6351558574045257474",1,21
99,2018-06-27 07:42:41,577,"Słomiana",52,"Czerwone Maki P+R",2018-06-27 07:40:00,"6352185295672180840","6351558574045216516",2,29
99,2018-06-27 07:42:43,408,"Rondo Czyżyńskie",52,"Os.Piastów",2018-06-27 07:42:00,"6352185295672181652","6351558574045253379",0,27
99,2018-06-27 07:42:44,379,"Piasta Kołodzieja",52,"Czerwone Maki P+R",2018-06-27 07:42:00,"6352185295672180856","6351558574045236996",0,2
101,2018-06-27 07:42:49,2688,"Norymberska",52,"Os.Piastów",2018-06-27 07:42:00,"6352185295672181669","6351558574045269763",0,5
101,2018-06-27 07:42:51,357,"Poczta Główna",52,"Czerwone Maki P+R",2018-06-27 07:38:00,"6352185295672181660","6351558574045220610",4,22
102,2018-06-27 07:42:56,112,"Stella-Sawickiego",52,"Czerwone Maki P+R",2018-06-27 07:42:00,"6352185295672181661","6351558574045228802",0,13
107,2018-06-27 07:43:17,2690,"Kampus UJ",52,"Czerwone Maki P+R",2018-06-27 07:40:00,"6352185295672180839","6351558574045277954",3,35
112,2018-06-27 07:43:44,392,"DH Wanda",52,"Os.Piastów",2018-06-27 07:43:00,"6352185295672180871","6351558574045249283",0,32
114,2018-06-27 07:43:53,113,"AWF",52,"Czerwone Maki P+R",2018-06-27 07:43:00,"6352185295672181661","6351558574045228802",0,14
116,2018-06-27 07:44:03,2745,"Rondo Kocmyrzowskie im. Ks. Gorzelanego",52,"Czerwone Maki P+R",2018-06-27 07:41:00,"6352185295672180894","6351558574045232900",3,7
118,2018-06-27 07:44:13,125,"Rondo Mogilskie",52,"Czerwone Maki P+R",2018-06-27 07:42:00,"6352185295672181662","6351558574045224708",2,19
118,2018-06-27 07:44:13,3040,"TAURON Arena Kraków Wieczysta",52,"Os.Piastów",2018-06-27 07:43:00,"6352185295672181648","6351558574045257474",1,22
118,2018-06-27 07:44:15,382,"Kleeberga",52,"Czerwone Maki P+R",2018-06-27 07:43:00,"6352185295672180856","6351558574045236996",1,3
119,2018-06-27 07:44:16,2687,"Grota-Roweckiego",52,"Os.Piastów",2018-06-27 07:44:00,"6352185295672181669","6351558574045269763",0,6
119,2018-06-27 07:44:19,413,"Os.Kolorowe",52,"Os.Piastów",2018-06-27 07:44:00,"6352185295672181652","6351558574045253379",0,28
121,2018-06-27 07:44:26,584,"Kobierzyńska",52,"Czerwone Maki P+R",2018-06-27 07:42:00,"6352185295672180840","6351558574045216516",2,30
121,2018-06-27 07:44:27,358,"Starowiślna",52,"Czerwone Maki P+R",2018-06-27 07:40:00,"6352185295672181660","6351558574045220610",4,23
121,2018-06-27 07:44:27,131,"Dworzec Główny",52,"Os.Piastów",2018-06-27 07:44:00,"6352185295672181668","6351558574045261571",0,17
127,2018-06-27 07:44:58,418,"Os.Zgody",52,"Czerwone Maki P+R",2018-06-27 07:42:00,"6352185295672180894","6351558574045232900",2,8
130,2018-06-27 07:45:09,2691,"Chmieleniec",52,"Czerwone Maki P+R",2018-06-27 07:41:00,"6352185295672180839","6351558574045277954",4,36
130,2018-06-27 07:45:11,2811,"Muzeum Lotnictwa",52,"Czerwone Maki P+R",2018-06-27 07:44:00,"6352185295672181661","6351558574045228802",1,15
135,2018-06-27 07:45:37,2539,"Rondo Hipokratesa",52,"Os.Piastów",2018-06-27 07:45:00,"6352185295672180871","6351558574045249283",0,33
139,2018-06-27 07:45:54,2811,"Muzeum Lotnictwa",52,"Os.Piastów",2018-06-27 07:44:00,"6352185295672181648","6351558574045257474",1,23
141,2018-06-27 07:46:02,126,"Lubicz",52,"Czerwone Maki P+R",2018-06-27 07:44:00,"6352185295672181662","6351558574045224708",2,20
142,2018-06-27 07:46:06,361,"Orzeszkowej",52,"Os.Piastów",2018-06-27 07:45:00,"6352185295672181647","6351558574045265668",1,13
143,2018-06-27 07:46:11,359,"Stradom",52,"Czerwone Maki P+R",2018-06-27 07:42:00,"6352185295672181660","6351558574045220610",4,24
146,2018-06-27 07:46:26,126,"Lubicz",52,"Os.Piastów",2018-06-27 07:46:00,"6352185295672181668","6351558574045261571",0,18
150,2018-06-27 07:46:43,2686,"Lipińskiego",52,"Czerwone Maki P+R",2018-06-27 07:44:00,"6352185295672180840","6351558574045216516",2,31
152,2018-06-27 07:46:57,388,"Dunikowskiego",52,"Czerwone Maki P+R",2018-06-27 07:45:00,NA,"6351558574045236996",1,4
155,2018-06-27 07:47:15,359,"Stradom",52,"Os.Piastów",2018-06-27 07:47:00,"6352185295672181647","6351558574045265668",0,14
155,2018-06-27 07:47:19,388,"Dunikowskiego",52,"Os.Piastów",2018-06-27 07:47:00,"6352185295672180871","6351558574045249283",0,34
156,2018-06-27 07:47:22,361,"Orzeszkowej",52,"Czerwone Maki P+R",2018-06-27 07:44:00,"6352185295672181660","6351558574045220610",3,25
156,2018-06-27 07:47:24,113,"AWF",52,"Os.Piastów",2018-06-27 07:46:00,"6352185295672181648","6351558574045257474",1,24
158,2018-06-27 07:47:37,3040,"TAURON Arena Kraków Wieczysta",52,"Czerwone Maki P+R",2018-06-27 07:47:00,"6352185295672181661","6351558574045228802",0,16
158,2018-06-27 07:47:39,2539,"Rondo Hipokratesa",52,"Czerwone Maki P+R",2018-06-27 07:47:00,"6352185295672180856","6351558574045236996",0,5
159,2018-06-27 07:47:41,3038,"Czerwone Maki P+R",52,"Os.Piastów",2018-06-27 07:47:00,"6352185295672181640","6351558574045273860",0,1
159,2018-06-27 07:47:45,2744,"Plac Centralny im. R.Reagana",52,"Czerwone Maki P+R",2018-06-27 07:45:00,"6352185295672180894","6351558574045232900",2,9
160,2018-06-27 07:47:47,2687,"Grota-Roweckiego",52,"Czerwone Maki P+R",2018-06-27 07:45:00,"6352185295672180840","6351558574045216516",2,32
166,2018-06-27 07:48:17,131,"Dworzec Główny",52,"Czerwone Maki P+R",2018-06-27 07:46:00,"6352185295672181662","6351558574045224708",2,21
171,2018-06-27 07:48:40,125,"Rondo Mogilskie",52,"Os.Piastów",2018-06-27 07:48:00,"6352185295672181668","6351558574045261571",0,19
171,2018-06-27 07:48:41,112,"Stella-Sawickiego",52,"Os.Piastów",2018-06-27 07:48:00,"6352185295672181648","6351558574045257474",0,25
176,2018-06-27 07:49:04,130,"Białucha",52,"Czerwone Maki P+R",2018-06-27 07:48:00,"6352185295672181661","6351558574045228802",1,17
