"index","time_stamp","stop","number","direction","plannedTime","vehicleId","tripId","status"
2,2018-07-09 22:14:00,718,"24","Bronowice Małe",2018-07-09 22:14:00,"6352185295672181038","6351558574044969747","STOPPING"
2,2018-07-09 22:14:05,681,"9","Mistrzejowice",2018-07-09 22:13:00,"6352185295672180984","6351558574044609295","STOPPING"
2,2018-07-09 22:14:09,621,"3","Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181363","6351558574044433174","STOPPING"
2,2018-07-09 22:14:09,624,"50","Prokocim",2018-07-09 22:10:00,"6352185295672181650","6351558574045002522","STOPPING"
2,2018-07-09 22:14:09,624,"6","Salwator",2018-07-09 22:11:00,"6352185295672181043","6351558574044527382","PREDICTED"
2,2018-07-09 22:14:10,570,"19","Dworzec Tow.",2018-07-09 22:14:00,"6352185295672181381","6351558574044838678","STOPPING"
2,2018-07-09 22:14:12,370,"14","Mistrzejowice",2018-07-09 22:13:00,"6352185295672180894","6351558574044760845","STOPPING"
2,2018-07-09 22:14:13,129,"5","Krowodrza Górka",2018-07-09 22:14:00,"6352185295672181159","6351558574044510994","STOPPING"
2,2018-07-09 22:14:14,130,"4","Bronowice Małe",2018-07-09 22:13:00,"6352185295672181647","6351558574044482319","STOPPING"
2,2018-07-09 22:14:16,2871,"1","Wzgórza K.",2018-07-09 22:10:00,"6352185295672181166","6351558574044367631","STOPPING"
2,2018-07-09 22:14:18,392,"14","Mistrzejowice",2018-07-09 22:14:00,"6352185295672181557","6351558574044756750","STOPPING"
2,2018-07-09 22:14:23,461,"22","Walcownia",2018-07-09 22:10:00,"6352185295672180884","6351558574044891918","PREDICTED"
3,2018-07-09 22:14:25,2690,"18","Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672181548","6351558574044810003","STOPPING"
3,2018-07-09 22:14:25,615,"19","Borek Fałęcki",2018-07-09 22:14:00,"6352185295672181176","6351558574044826390","STOPPING"
3,2018-07-09 22:14:28,922,"8","Bronowice Małe",2018-07-09 22:14:00,"6352185295672181362","6351558574044580628","PREDICTED"
3,2018-07-09 22:14:29,322,"13","Nowy Bieżanów P+R",2018-07-09 22:14:00,"6352185295672181345","6351558574044683027","PREDICTED"
3,2018-07-09 22:14:31,2741,"18","Czerwone Maki P+R",2018-07-09 22:13:00,"6352185295672181550","6351558574044818195","STOPPING"
3,2018-07-09 22:14:31,357,"1","Salwator",2018-07-09 22:14:00,"6352185295672181145","6351558574044392208","PREDICTED"
3,2018-07-09 22:14:35,78,"14","Mistrzejowice",2018-07-09 22:14:00,"6352185295672180864","6351558574044732175","STOPPING"
3,2018-07-09 22:14:36,131,"52","Os.Piastów",2018-07-09 22:14:00,"6352185295672181667","6351558574045035277","STOPPING"
3,2018-07-09 22:14:37,682,"9","Nowy Bieżanów P+R",2018-07-09 22:13:00,NA,"6351558574044613390","PLANNED"
3,2018-07-09 22:14:39,365,"19","Borek Fałęcki",2018-07-09 22:13:00,NA,"6351558574044830486","PLANNED"
3,2018-07-09 22:14:40,129,"5","Wzgórza K.",2018-07-09 22:13:00,NA,"6351558574044502803","PLANNED"
3,2018-07-09 22:14:42,3041,"1","Salwator",2018-07-09 22:14:00,"6352185295672181165","6351558574044400401","PREDICTED"
3,2018-07-09 22:14:43,383,"14","Bronowice Małe",2018-07-09 22:14:00,"6352185295672181549","6351558574044748559","STOPPING"
3,2018-07-09 22:14:44,379,"21","Os.Piastów",2018-07-09 22:13:00,NA,"6351558574044883746","PLANNED"
3,2018-07-09 22:14:44,2744,"21","Kopiec Wandy",2018-07-09 22:13:00,NA,"6351558574044879651","PLANNED"
3,2018-07-09 22:14:44,418,"5","Wzgórza K.",2018-07-09 22:13:00,"6352185295672181192","6351558574044498707","STOPPING"
4,2018-07-09 22:14:50,320,"20","Mały Płaszów",2018-07-09 22:14:00,"6352185295672181154","6351558574044855066","PREDICTED"
4,2018-07-09 22:14:51,2687,"52","Os.Piastów",2018-07-09 22:14:00,"6352185295672181660","6351558574045043469","STOPPING"
4,2018-07-09 22:14:51,584,"22","Kombinat",2018-07-09 22:13:00,NA,"6351558574044900111","PLANNED"
4,2018-07-09 22:14:51,577,"22","Borek Fałęcki",2018-07-09 22:09:00,"6352185295672180859","6351558574044908302","STOPPING"
4,2018-07-09 22:14:55,360,"6","Kurdwanów P+R",2018-07-09 22:14:00,"6352185295672181195","6351558574044543766","PREDICTED"
4,2018-07-09 22:14:55,325,"18","Krowodrza Górka",2018-07-09 22:14:00,"6352185295672181552","6351558574044793620","STOPPING"
4,2018-07-09 22:14:56,2741,"13","Bronowice",2018-07-09 22:13:00,"6352185295672181370","6351558574044699410","STOPPING"
4,2018-07-09 22:14:57,78,"8","Bronowice Małe",2018-07-09 22:14:00,"6352185295672181360","6351558574044572434","STOPPING"
4,2018-07-09 22:14:59,70,"3","Krowodrza Górka",2018-07-09 22:13:00,NA,"6351558574044424982","PLANNED"
4,2018-07-09 22:14:59,3036,"3","Nowy Bieżanów P+R",2018-07-09 22:14:00,"6352185295672181346","6351558574044420887","STOPPING"
4,2018-07-09 22:15:01,3158,"11","Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672180970","6351558574044666647","STOPPING"
4,2018-07-09 22:15:03,1262,"20","Cichy Kącik",2018-07-09 22:15:00,"6352185295672181137","6351558574044871448","PREDICTED"
4,2018-07-09 22:15:03,125,"4","Wzgórza K.",2018-07-09 22:13:00,"6352185295672181658","6351558574044470031","STOPPING"
4,2018-07-09 22:15:05,930,"14","Bronowice Małe",2018-07-09 22:14:00,"6352185295672180840","6351558574044744462","PREDICTED"
4,2018-07-09 22:15:08,418,"52","Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672181637","6351558574045072141","STOPPING"
5,2018-07-09 22:15:13,2690,"18","Krowodrza Górka",2018-07-09 22:15:00,"6352185295672181551","6351558574044801812","STOPPING"
5,2018-07-09 22:15:15,571,"8","Borek Fałęcki",2018-07-09 22:15:00,"6352185295672181359","6351558574044592915","STOPPING"
5,2018-07-09 22:15:15,571,"11","Mały Płaszów",2018-07-09 22:14:00,"6352185295672180940","6351558574044674838","STOPPING"
5,2018-07-09 22:15:16,611,"8","Bronowice Małe",2018-07-09 22:15:00,"6352185295672181362","6351558574044580628","PREDICTED"
5,2018-07-09 22:15:21,89,"24","Bronowice Małe",2018-07-09 22:15:00,"6352185295672181055","6351558574044953361","PREDICTED"
5,2018-07-09 22:15:22,61,"18","Czerwone Maki P+R",2018-07-09 22:15:00,"6352185295672181560","6351558574044781331","STOPPING"
5,2018-07-09 22:15:22,61,"18","Krowodrza Górka",2018-07-09 22:13:00,"6352185295672181540","6351558574044789522","STOPPING"
5,2018-07-09 22:15:23,1173,"50","Prokocim",2018-07-09 22:14:00,"6352185295672181641","6351558574045014810","STOPPING"
5,2018-07-09 22:15:25,632,"24","Kurdwanów P+R",2018-07-09 22:14:00,"6352185295672181042","6351558574044928786","STOPPING"
5,2018-07-09 22:15:26,3158,"3","Nowy Bieżanów P+R",2018-07-09 22:14:00,"6352185295672181344","6351558574044453653","STOPPING"
5,2018-07-09 22:15:26,624,"50","Krowodrza Górka",2018-07-09 22:14:00,"6352185295672181642","6351558574044998428","STOPPING"
5,2018-07-09 22:15:27,1154,"20","Mały Płaszów",2018-07-09 22:14:00,"6352185295672181161","6351558574044846873","PREDICTED"
5,2018-07-09 22:15:28,129,"10","Kopiec Wandy",2018-07-09 22:08:00,"6352185295672180851","6351558574044642067","STOPPING"
5,2018-07-09 22:15:28,129,"4","Bronowice Małe",2018-07-09 22:15:00,"6352185295672181647","6351558574044482319","STOPPING"
5,2018-07-09 22:15:29,124,"2","Salwator",2018-07-09 22:15:00,"6352185295672181168","6351558574044416804","STOPPING"
5,2018-07-09 22:15:30,930,"1","Wzgórza K.",2018-07-09 22:12:00,"6352185295672181166","6351558574044367631","PREDICTED"
5,2018-07-09 22:15:30,3041,"22","Kombinat",2018-07-09 22:15:00,"6352185295672180900","6351558574044896015","STOPPING"
5,2018-07-09 22:15:32,413,"9","Nowy Bieżanów P+R",2018-07-09 22:15:00,"6352185295672180962","6351558574044621583","STOPPING"
5,2018-07-09 22:15:32,413,"52","Os.Piastów",2018-07-09 22:14:00,"6352185295672181649","6351558574045088526","STOPPING"
6,2018-07-09 22:15:37,2691,"18","Czerwone Maki P+R",2018-07-09 22:15:00,"6352185295672181548","6351558574044810003","STOPPING"
6,2018-07-09 22:15:39,584,"52","Czerwone Maki P+R",2018-07-09 22:14:00,"6352185295672181640","6351558574045059853","PREDICTED"
